8220DB000002,Parnell Square West,2,53.35224436,-6.263723219
8220DB000003,Parnell Square West,3,53.35230855,-6.263810742
8220DB000004,Parnell Square West,4,53.35257451,-6.264175486
8220DB000006,Parnell Square West,6,53.35274934,-6.264453804
8220DB000007,Parnell Square West,7,53.35284091,-6.264570261
8220DB000008,Parnell Square West,8,53.35327227,-6.265183677
8220DB000010,Parnell Square West,10,53.3533921,-6.265389124
8220DB000011,St Joseph's Parade,11,53.35681523,-6.264679195
8220DB000012,Upper Dorset Street,12,53.35710752,-6.264381867
8220DB000014,Dorset Street Lower,14,53.35853124,-6.262776506
8220DB000015,Innisfallen Parade,15,53.36026671,-6.260978043
8220DB000016,Nephin Road Park,16,53.36639156,-6.305614184
8220DB000017,Drumcondra Rail Stn,17,53.36307832,-6.258399288
8220DB000018,Dargle Road,18,53.36585593,-6.255956821
8220DB000019,Botanic Avenue,19,53.36723488,-6.255599941
8220DB000021,DCU St Patrick's,21,53.3701012,-6.254310599
8220DB000022,Home Farm Road,22,53.37350361,-6.252803753
8220DB000023,Ferguson Road,23,53.37422828,-6.256261004
8220DB000024,Walsh Road,24,53.37513316,-6.260372348
8220DB000025,Rathlin Road,25,53.37589947,-6.263617736
8220DB000027,Ballymun Road,27,53.37943896,-6.266585261
8220DB000028,Hampstead Avenue,28,53.38157864,-6.266002271
8220DB000029,Albert College Park,29,53.38348825,-6.265669101
8220DB000030,Ventry Park,30,53.3703319,-6.304601169
8220DB000031,St Pappin's Road,31,53.38603323,-6.268858077
8220DB000032,Stormanstown Road,32,53.38619557,-6.271377201
8220DB000033,Glasnevin Drive,33,53.38871792,-6.271771141
8220DB000035,Dean Swift Road,35,53.38620679,-6.270910693
8220DB000036,Maolbuille Road,36,53.38612685,-6.26787707
8220DB000037,DCU Ballymun Road,37,53.3853464,-6.264886981
8220DB000038,Hampstead Avenue,38,53.38223659,-6.265509521
8220DB000039,The Rise,39,53.38041419,-6.265658759
8220DB000040,Stella Avenue,40,53.37666077,-6.264668969
8220DB000041,Home Farm Road,41,53.37555927,-6.261858006
8220DB000042,Corpus Christi NS,42,53.37465027,-6.25746119
8220DB000043,Achill Road,43,53.37386122,-6.25390131
8220DB000044,Skylon Hotel,44,53.37301741,-6.252132303
8220DB000045,DCU St Patrick's,45,53.36993643,-6.254106941
8220DB000046,Botanic Avenue,46,53.36713102,-6.255258557
8220DB000047,Drumcondra Rail Stn,47,53.36391612,-6.257298257
8220DB000048,Fitzroy Avenue,48,53.36225739,-6.258808412
8220DB000049,Dorset Street Lower,49,53.36000424,-6.260853508
8220DB000051,Temple Street,51,53.35781041,-6.263271572
8220DB000052,Dorset Street Upper,52,53.35666078,-6.264565282
8220DB000053,North Circular Road,53,53.36001449,-6.262791289
8220DB000054,Mater Hospital,54,53.36022161,-6.265908034
8220DB000055,Mountjoy,55,53.3604116,-6.26846958
8220DB000056,Dalymount,56,53.36075972,-6.276373655
8220DB000057,Dalymount,57,53.36081622,-6.276551675
8220DB000058,Churchview Home,58,53.36094625,-6.281204202
8220DB000059,Annamoe Terrace,59,53.36101801,-6.284942563
8220DB000060,Quarry Road,60,53.36127922,-6.2893645
8220DB000063,Faussaugh Avenue,63,53.36679244,-6.292750108
8220DB000064,Faussaugh Ave Church,64,53.36708858,-6.295232782
8220DB000065,Dingle Road,65,53.36725464,-6.298051276
8220DB000066,Broombridge Road,66,53.36727499,-6.300740346
8220DB000068,Ventry Drive,68,53.36907751,-6.304245235
8220DB000069,Carnlough Road,69,53.37139256,-6.303341717
8220DB000071,Ventry Park,71,53.37025769,-6.304438805
8220DB000072,Ventry Drive,72,53.36896993,-6.304264536
8220DB000073,Faussagh Avenue,73,53.36739155,-6.300720679
8220DB000074,Faussaugh Ave Church,74,53.36720024,-6.295498814
8220DB000075,Fionnbarra GAA,75,53.36654723,-6.291317319
8220DB000077,Quarry Road,77,53.36130918,-6.289573652
8220DB000078,Annamoe Terrace,78,53.36114922,-6.284065835
8220DB000079,Churchview Home,79,53.36102125,-6.280795506
8220DB000080,Phibsborough PO,80,53.36086296,-6.276053962
8220DB000081,Phibsborough,81,53.36087575,-6.271966627
8220DB000082,Phibsborough,82,53.3607978,-6.27154908
8220DB000083,Mater Hospital,83,53.36027925,-6.265545096
8220DB000084,Leo Street,84,53.36016256,-6.263701781
8220DB000085,Wellpark Avenue,85,53.37395795,-6.25191343
8220DB000086,Home Farm FC,86,53.37605022,-6.251166391
8220DB000087,Clare Road,87,53.37675173,-6.25488029
8220DB000088,Walnut Rise,88,53.37728726,-6.257699229
8220DB000090,Albert College Court,90,53.38638553,-6.265265673
8220DB000091,Ballymun Road NS,91,53.38842789,-6.265408142
8220DB000092,Ballymun Library,92,53.38983733,-6.26467424
8220DB000093,Gateway Avenue,93,53.39230147,-6.264152976
8220DB000094,Civic Centre,94,53.39603476,-6.26437696
8220DB000102,Balbutcher Lane,102,53.39777307,-6.267719857
8220DB000104,Poppintree Parade,104,53.39975621,-6.276812945
8220DB000105,Belclare Park,105,53.4029364,-6.281692696
8220DB000107,Crannogue Road,107,53.4023799,-6.28049691
8220DB000110,Árd Na Meala,110,53.39793864,-6.268600381
8220DB000112,Civic Centre,112,53.3961544,-6.26395104
8220DB000113,Trinity Comp School,113,53.39226796,-6.263703255
8220DB000114,Ballymun Road,114,53.39133332,-6.263711229
8220DB000115,Ballymun Road Church,115,53.38796409,-6.2650361
8220DB000117,Walnut Rise,117,53.37736591,-6.257545708
8220DB000118,Clare Road,118,53.376643,-6.253592099
8220DB000119,The Village,119,53.37519048,-6.250765745
8220DB000126,Nursing Home,126,53.39909547,-6.264086961
8220DB000127,Nursing Home,127,53.39910753,-6.263680428
8220DB000129,Glasnevin Drive,129,53.38989032,-6.271422936
8220DB000130,Glasnevin Park,130,53.39009201,-6.274181269
8220DB000131,Willow Park Road,131,53.39038589,-6.278349237
8220DB000133,Grove Park Road,133,53.39079693,-6.286301509
8220DB000134,Sycamore Road,134,53.39309459,-6.286073865
8220DB000136,McKee Road,136,53.3943802,-6.289856597
8220DB000137,Clancy Avenue,137,53.39231672,-6.292630795
8220DB000138,St Canice's BNS,138,53.38999501,-6.291806573
8220DB000141,Willow Park Road,141,53.39044509,-6.278091245
8220DB000142,Glasnevin Park,142,53.39019829,-6.274071722
8220DB000143,Willow Park Avenue,143,53.38987671,-6.26924337
8220DB000146,Na Fianna GAA Club,146,53.37504013,-6.265095586
8220DB000147,Tolka Bridge,147,53.37248023,-6.265830862
8220DB000148,Mobhi Road,148,53.37067017,-6.268068507
8220DB000149,Tolka Bridge,149,53.37313859,-6.265984466
8220DB000150,Na Fianna GAA Club,150,53.37565885,-6.264995283
8220DB000151,Botanic Gardens,151,53.37195526,-6.269293828
8220DB000153,Met Eireann,153,53.37568851,-6.270134439
8220DB000154,St Brigid's School,154,53.377259,-6.275557037
8220DB000155,Old Finglas Road,155,53.37787425,-6.279575527
8220DB000156,Tolka Estate,156,53.37862339,-6.281664739
8220DB000157,Glasilawn Road,157,53.38041162,-6.281637825
8220DB000158,Griffith Road,158,53.38148195,-6.283563954
